"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ensembl_gene_id","ensembl_gene_id_clean","hgnc_symbol","gene_name","sig_category"
274.674647132858,6.5711302960292,0.177693733868479,36.9800901414614,2.39290578912874e-299,6.32756077819314e-295,"ENSG00000099725.14","ENSG00000099725","PRKY","PRKY","Significant"
428.525052220638,6.65917103347422,0.188019047733412,35.417534094291,9.17283078669735e-275,1.21278582246319e-270,"ENSG00000165246.14","ENSG00000165246","NLGN4Y","NLGN4Y","Significant"
104.486107853157,6.61668762696775,0.190542273323306,34.7255625303722,3.24145731135519e-264,2.85712852280551e-260,"ENSG00000176728.10","ENSG00000176728","TTTY14","TTTY14","Significant"
43.6587171920349,6.75014540264732,0.199625226892087,33.8140900713731,1.22432289286644e-250,8.09369256401679e-247,"ENSG00000260197.1","ENSG00000260197","","ENSG00000260197","Significant"
1272.37205123806,6.50177965885556,0.199213209270102,32.6372918878093,1.21377127459432e-233,6.41915076281954e-230,"ENSG00000012817.16","ENSG00000012817","KDM5D","KDM5D","Significant"
102.599532805745,7.2415351585468,0.223052716838482,32.4655770222721,3.26543361370819e-231,1.43913101745476e-227,"ENSG00000231535.7","ENSG00000231535","LINC00278","LINC00278","Significant"
487.399692790538,6.56543096310945,0.202282280001605,32.456777544021,4.34621151254241e-231,1.64181244323084e-227,"ENSG00000067646.12","ENSG00000067646","ZFY","ZFY","Significant"
37.3585722612944,6.84847356995801,0.211255108591106,32.4180258438794,1.52946243023202e-230,5.05544688032817e-227,"ENSG00000241859.7","ENSG00000241859","ANOS2P","ANOS2P","Significant"
680.465315527522,6.49863067449119,0.201989066137327,32.1731804536041,4.18772468242638e-227,1.23040004197112e-223,"ENSG00000131002.12","ENSG00000131002","TXLNGY","TXLNGY","Significant"
685.343799027349,6.56936717610197,0.208723953932122,31.4739494549743,1.97439008547921e-217,5.22087970303268e-214,"ENSG00000198692.10","ENSG00000198692","EIF1AY","EIF1AY","Significant"
32.6042618180198,6.64795133519011,0.211377143796362,31.4506630934263,4.11089521876086e-217,9.88221838815394e-214,"ENSG00000229308.1","ENSG00000229308","","ENSG00000229308","Significant"
687.574387557234,6.5933049943595,0.211044197422603,31.2413469542439,2.92640408286799e-214,6.44857526360653e-211,"ENSG00000183878.15","ENSG00000183878","UTY","UTY","Significant"
1353.54649107147,6.55881271759044,0.210930686551445,31.0946350425441,2.84629244872864e-212,5.78957778628703e-209,"ENSG00000114374.13","ENSG00000114374","USP9Y","USP9Y","Significant"
7205.24662034977,6.77627091202421,0.21925318683863,30.9061455832408,9.87653294081974e-210,1.86546543252926e-206,"ENSG00000129824.16","ENSG00000129824","RPS4Y1","RPS4Y1","Significant"
39.7136961294348,6.71116902266717,0.218400527306676,30.728721699666,2.35349209855057e-207,4.14889277079818e-204,"ENSG00000154620.6","ENSG00000154620","TMSB4Y","TMSB4Y","Significant"
2868.60548282851,-7.78338494495167,0.254973044719918,-30.5263050590369,1.16679223319504e-204,1.92834293889853e-201,"ENSG00000229807.12","ENSG00000229807","XIST","XIST","Significant"
22.9080156928084,5.57550399747974,0.183630121017378,30.3626875949839,1.70864757395053e-202,2.65775104693964e-199,"ENSG00000215580.11","ENSG00000215580","BCORP1","BCORP1","Significant"
15.9603747200372,6.27281369555407,0.208057803113768,30.1493796515963,1.09289921882398e-199,1.60552966907569e-196,"ENSG00000286009.2","ENSG00000286009","","ENSG00000286009","Significant"
2421.20403483975,6.40835101207768,0.213848656422752,29.9667583574113,2.66171202602871e-197,3.7044026896988e-194,"ENSG00000067048.17","ENSG00000067048","DDX3Y","DDX3Y","Significant"
65.386172536691,7.15450843653482,0.267212254662472,26.7746269555339,6.38201738453294e-158,8.43798428496023e-155,"ENSG00000273906.1","ENSG00000273906","","ENSG00000273906","Significant"
14.5304231653169,5.9205525954547,0.228577126018806,25.9017719689397,6.36052197494474e-148,8.00910869445066e-145,"ENSG00000099715.14","ENSG00000099715","PCDH11Y","PCDH11Y","Significant"
29.9105313658623,6.84269840246743,0.275192799209751,24.8651070163066,1.77523252379613e-136,2.1337488012155e-133,"ENSG00000233070.1","ENSG00000233070","ZFY-AS1","ZFY-AS1","Significant"
138.690373079752,8.38235875254214,0.340948699554523,24.5853958777211,1.81009720552168e-133,2.08106088720043e-130,"ENSG00000286201.1","ENSG00000286201","","ENSG00000286201","Significant"
14.8943048086469,5.3733033189799,0.224788846729775,23.9037808020756,2.79765868896762e-126,3.08243702968211e-123,"ENSG00000229236.3","ENSG00000229236","TTTY10","TTTY10","Significant"
10.3423671019117,5.15562512270132,0.220806407948996,23.3490738361733,1.40834050045955e-120,1.48962991414608e-117,"ENSG00000288049.1","ENSG00000288049","","ENSG00000288049","Significant"
